geometry,region,n_layers,t_oxide_m,eps_oxide,Vg,Vc,file_path
top,under_contact,4,3e-09,20.0,-1.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg-1.00_Vc+0.00_under_contact.csv
top,spacer,4,3e-09,20.0,-1.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg-1.00_Vc+0.00_spacer.csv
top,channel,4,3e-09,20.0,-1.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg-1.00_Vc+0.00_channel.csv
top,under_contact,4,3e-09,20.0,0.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg+0.00_Vc+0.00_under_contact.csv
top,spacer,4,3e-09,20.0,0.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg+0.00_Vc+0.00_spacer.csv
top,channel,4,3e-09,20.0,0.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg+0.00_Vc+0.00_channel.csv
top,under_contact,4,3e-09,20.0,1.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg+1.00_Vc+0.00_under_contact.csv
top,spacer,4,3e-09,20.0,1.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg+1.00_Vc+0.00_spacer.csv
top,channel,4,3e-09,20.0,1.0,0.0,sweep_results/top_N4_tox3.0nm_eps20.0_Vg+1.00_Vc+0.00_channel.csv
top,under_contact,4,5e-09,20.0,-1.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg-1.00_Vc+0.00_under_contact.csv
top,spacer,4,5e-09,20.0,-1.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg-1.00_Vc+0.00_spacer.csv
top,channel,4,5e-09,20.0,-1.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg-1.00_Vc+0.00_channel.csv
top,under_contact,4,5e-09,20.0,0.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg+0.00_Vc+0.00_under_contact.csv
top,spacer,4,5e-09,20.0,0.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg+0.00_Vc+0.00_spacer.csv
top,channel,4,5e-09,20.0,0.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg+0.00_Vc+0.00_channel.csv
top,under_contact,4,5e-09,20.0,1.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg+1.00_Vc+0.00_under_contact.csv
top,spacer,4,5e-09,20.0,1.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg+1.00_Vc+0.00_spacer.csv
top,channel,4,5e-09,20.0,1.0,0.0,sweep_results/top_N4_tox5.0nm_eps20.0_Vg+1.00_Vc+0.00_channel.csv
top,under_contact,4,1e-08,20.0,-1.0,0.0,sweep_results/top_N4_tox10.0nm_eps20.0_Vg-1.00_Vc+0.00_under_contact.csv
top,spacer,4,1e-08,20.0,-1.0,0.0,sweep_results/top_N4_tox10.0nm_eps20.0_Vg-1.00_Vc+0.00_spacer.csv
top,channel,4,1e-08,20.0,-1.0,0.0,sweep_results/top_N4_tox10.0nm_eps20.0_Vg-1.00_Vc+0.00_channel.csv
top,under_contact,4,1e-08,20.0,0.0,0.0,sweep_results/top_N4_tox10.0nm_eps20.0_Vg+0.00_Vc+0.00_under_contact.csv
